OTU5123; Root; (rootrank, 29%); unclassified_Root; (domain, 29%)
OTU5195; Root; (rootrank, 32%); unclassified_Root; (domain, 32%)
OTU5230; Root; (rootrank, 31%); unclassified_Root; (domain, 31%)
OTU5362; Root; (rootrank, 34%); unclassified_Root; (domain, 34%)
OTU5372; Root; (rootrank, 32%); unclassified_Root; (domain, 32%)
OTU5396; Root; (rootrank, 100%); Bacteria; (domain, 100%); Proteobacteria; (phylum, 100%); Alphaproteobacteria; (class, 100%); Rickettsiales; (order, 100%); Mitochondria; (family, 100%); Mitochondria_genus_incertae_sedis; (genus, 100%)
OTU5578; Root; (rootrank, 94%); Bacteria; (domain, 94%); Proteobacteria; (phylum, 94%); Alphaproteobacteria; (class, 94%); Rickettsiales; (order, 94%); Mitochondria; (family, 94%); Mitochondria_genus_incertae_sedis; (genus, 94%)
OTU5600; Root; (rootrank, 35%); unclassified_Root; (domain, 35%)
OTU5610; Root; (rootrank, 33%); unclassified_Root; (domain, 33%)
OTU5698; Root; (rootrank, 33%); unclassified_Root; (domain, 33%)
OTU5715; Root; (rootrank, 35%); unclassified_Root; (domain, 35%)
OTU5790; Root; (rootrank, 32%); unclassified_Root; (domain, 32%)
OTU5840; Root; (rootrank, 28%); unclassified_Root; (domain, 28%)
OTU5861; Root; (rootrank, 31%); unclassified_Root; (domain, 31%)
OTU5987; Root; (rootrank, 32%); unclassified_Root; (domain, 32%)
OTU6096; Root; (rootrank, 29%); unclassified_Root; (domain, 29%)
OTU6124; Root; (rootrank, 23%); unclassified_Root; (domain, 23%)
OTU6188; Root; (rootrank, 24%); unclassified_Root; (domain, 24%)
OTU6189; Root; (rootrank, 22%); unclassified_Root; (domain, 22%)
OTU6220; Root; (rootrank, 32%); unclassified_Root; (domain, 32%)
OTU6221; Root; (rootrank, 30%); unclassified_Root; (domain, 30%)
OTU6283; Root; (rootrank, 32%); unclassified_Root; (domain, 32%)
OTU6396; Root; (rootrank, 34%); unclassified_Root; (domain, 34%)
OTU6428; Root; (rootrank, 34%); unclassified_Root; (domain, 34%)
OTU6440; Root; (rootrank, 23%); unclassified_Root; (domain, 23%)
OTU6465; Root; (rootrank, 30%); unclassified_Root; (domain, 30%)
OTU6470; Root; (rootrank, 28%); unclassified_Root; (domain, 28%)
OTU6534; Root; (rootrank, 32%); unclassified_Root; (domain, 32%)
OTU6544; Root; (rootrank, 34%); unclassified_Root; (domain, 34%)
OTU6547; Root; (rootrank, 32%); unclassified_Root; (domain, 32%)
OTU6571; Root; (rootrank, 36%); unclassified_Root; (domain, 36%)
