"percent.OTUS.sig.predictors.classified"	"total.counts.classified.OTUS"	"counts.sig.orders.classified"	"counts.orders.classified"	"hits.to.sig.predictive.taxa"	"other.hits"
"aerobic_ammonia_oxidation"	0.07	118	0.4	5	"Nitrosopumilales.Nitrosopumilaceae:7, Nitrospirales.Nitrospiraceae:1"	"Betaproteobacteriales.Nitrosomonadaceae:98, Nitrososphaerales.Nitrososphaeraceae:8, Nitrosotaleales.Nitrosotaleaceae:4"
"methanol_oxidation"	1	31	1	3	"Betaproteobacteriales.Methylophilaceae:24, Rhizobiales.Beijerinckiaceae:5, Rhodobacterales.Rhodobacteraceae:2"	""
"methylotrophy"	0.39	87	0.57	7	"Betaproteobacteriales.Methylophilaceae:24, Rhizobiales.Beijerinckiaceae:7, Rhodobacterales.Rhodobacteraceae:2, nan:1"	"Methylococcales.Methylomonaceae:43, Methylococcales.Methylococcaceae:8, Methylomirabilales.Methylomirabilaceae:2"
"fermentation"	0.43	438	0.22	54	"Clostridiales.Family_XII:58, Desulfobacterales.Desulfobacteraceae:32, Desulfobacterales.Desulfobulbaceae:27, Clostridiales.Peptostreptococcaceae:20, Clostridiales.Lachnospiraceae:12, Betaproteobacteriales.Burkholderiaceae:11, Clostridiales.Ruminococcaceae:11, Clostridiales.Clostridiaceae_1:5, Anaerolineales.Anaerolineaceae:5, Flavobacteriales.Flavobacteriaceae:3, Rhodobacterales.Rhodobacteraceae:3, Desulfovibrionales.Desulfovibrionaceae:2"	"Spirochaetales.Spirochaetaceae:55, Vibrionales.Vibrionaceae:47, Bacteroidales.Bacteroidaceae:19, Opitutales.Opitutaceae:16, Bacteroidales.Paludibacteraceae:14, Alteromonadales.Colwelliaceae:10, Fusobacteriales.Fusobacteriaceae:10, Enterobacteriales.Enterobacteriaceae:5, Lactobacillales.Lactobacillaceae:5, Erysipelotrichales.Erysipelotrichaceae:5, Bifidobacteriales.Bifidobacteriaceae:5, Propionibacteriales.Propionibacteriaceae:4, Clostridiales.Family_XIII:4, Micrococcales.Cellulomonadaceae:4, Desulfovibrionales.Desulfomicrobiaceae:4, Flavobacteriales.Crocinitomicaceae:3, Syntrophobacterales.Syntrophaceae:3, Holophagales.Holophagaceae:3, Bacteroidales.Dysgonomonadaceae:2, Aeromonadales.Aeromonadaceae:2, Verrucomicrobiales.Verrucomicrobiaceae:2, Betaproteobacteriales.Rhodocyclaceae:2, Lactobacillales.Streptococcaceae:2, Fusobacteriales.Leptotrichiaceae:2, Bacteroidales.Barnesiellaceae:2, Desulfuromonadales.Desulfuromonadaceae:2, Victivallales.Victivallaceae:2, Selenomonadales.Veillonellaceae:1, Clostridiales.Peptococcaceae:1, Clostridiales.Family_XI:1, Lactobacillales.Carnobacteriaceae:1, Bacteroidales.Rikenellaceae:1, Bacteroidales.Marinifilaceae:1, Azospirillales.Azospirillaceae:1, Flavobacteriales.Weeksellaceae:1, Betaproteobacteriales.Chitinibacteraceae:1, Fibrobacterales.Fibrobacteraceae:1, Bacteroidales.Tannerellaceae:1, Coriobacteriales.Coriobacteriaceae:1, Lactobacillales.Leuconostocaceae:1, Pasteurellales.Pasteurellaceae:1, Myxococcales.Polyangiaceae:1"
"nitrate_reduction"	0.15	170	0.26	35	"Betaproteobacteriales.Burkholderiaceae:9, Flavobacteriales.Flavobacteriaceae:5, Rhodobacterales.Rhodobacteraceae:4, Desulfovibrionales.Desulfovibrionaceae:2, Thalassobaculales.Nisaeaceae:1, Rhizobiales.Rhizobiaceae:1, Campylobacterales.Arcobacteraceae:1, Clostridiales.Clostridiaceae_1:1, Desulfobacterales.Desulfobacteraceae:1"	"Vibrionales.Vibrionaceae:27, Alteromonadales.Shewanellaceae:21, Betaproteobacteriales.Rhodocyclaceae:19, Opitutales.Opitutaceae:13, Alteromonadales.Colwelliaceae:10, Thiomicrospirales.Thioglobaceae:8, Xanthomonadales.Xanthomonadaceae:7, Desulfuromonadales.Desulfuromonadaceae:7, Rhodospirillales.Magnetospirillaceae:4, Methylococcales.Methylomonaceae:3, Flavobacteriales.Crocinitomicaceae:3, Enterobacteriales.Enterobacteriaceae:3, Rhizobiales.Xanthobacteraceae:3, Pseudomonadales.Pseudomonadaceae:2, Acetobacterales.Acetobacteraceae:2, Propionibacteriales.Propionibacteriaceae:2, Beggiatoales.Beggiatoaceae:2, Sneathiellales.Sneathiellaceae:1, Aeromonadales.Aeromonadaceae:1, Cytophagales.Spirosomaceae:1, Alteromonadales.Alteromonadaceae:1, Campylobacterales.Sulfurospirillaceae:1, Holophagales.Holophagaceae:1, Pasteurellales.Pasteurellaceae:1, Betaproteobacteriales.Sulfuricellaceae:1, Oceanospirillales.Hahellaceae:1"
"anoxygenic_photoautotrophy_S_oxidizing"	0.76	34	0.5	4	"Ectothiorhodospirales.Ectothiorhodospiraceae:25, Rhodobacterales.Rhodobacteraceae:1"	"Chromatiales.Chromatiaceae:5, Rhizobiales.Xanthobacteraceae:3"
"anoxygenic_photoautotrophy"	0.78	37	0.5	4	"Ectothiorhodospirales.Ectothiorhodospiraceae:25, Rhodobacterales.Rhodobacteraceae:4"	"Chromatiales.Chromatiaceae:5, Rhizobiales.Xanthobacteraceae:3"
"predatory_or_exoparasitic"	0.83	375	0.4	5	"Bdellovibrionales.Bdellovibrionaceae:311, Betaproteobacteriales.Burkholderiaceae:2"	"Myxococcales.Haliangiaceae:31, Bdellovibrionales.Bacteriovoracaceae:22, Myxococcales.Phaselicystidaceae:9"
"respiration_of_sulfur_compounds"	0.94	513	0.46	13	"Desulfobacterales.Desulfobacteraceae:209, Desulfobacterales.Desulfobulbaceae:149, Clostridiales.Family_XII:51, Desulfarculales.Desulfarculaceae:44, Desulfovibrionales.Desulfovibrionaceae:30, Desulfuromonadales.Geobacteraceae:1"	"Syntrophobacterales.Syntrophaceae:8, Desulfuromonadales.Desulfuromonadaceae:8, Campylobacterales.Sulfurospirillaceae:6, Desulfovibrionales.Desulfomicrobiaceae:4, Alteromonadales.Shewanellaceae:1, Clostridiales.Peptococcaceae:1, Alteromonadales.Alteromonadaceae:1"
"sulfate_respiration"	0.97	445	0.57	7	"Desulfobacterales.Desulfobacteraceae:209, Desulfobacterales.Desulfobulbaceae:149, Desulfarculales.Desulfarculaceae:44, Desulfovibrionales.Desulfovibrionaceae:30"	"Syntrophobacterales.Syntrophaceae:8, Desulfovibrionales.Desulfomicrobiaceae:4, Clostridiales.Peptococcaceae:1"
"animal_parasites_or_symbionts"	0.58	166	0.26	19	"Coxiellales.Coxiellaceae:82, Clostridiales.Lachnospiraceae:7, Betaproteobacteriales.Burkholderiaceae:4, Clostridiales.Ruminococcaceae:2, Campylobacterales.Arcobacteraceae:1"	"Francisellales.Francisellaceae:22, Acetobacterales.Acetobacteraceae:10, Pseudomonadales.Moraxellaceae:8, Xanthomonadales.Xanthomonadaceae:7, Chthoniobacterales.Xiphinematobacteraceae:4, Enterobacteriales.Enterobacteriaceae:3, Bifidobacteriales.Bifidobacteriaceae:3, Bacteroidales.Bacteroidaceae:3, Bacteroidales.Prevotellaceae:3, Pasteurellales.Pasteurellaceae:3, Vibrionales.Vibrionaceae:1, Rhizobiales.Xanthobacteraceae:1, Bacteroidales.Tannerellaceae:1, Coriobacteriales.Coriobacteriaceae:1"
"human_pathogens_all"	0.75	110	0.29	7	"Coxiellales.Coxiellaceae:82, Campylobacterales.Arcobacteraceae:1"	"Acetobacterales.Acetobacteraceae:10, Pseudomonadales.Moraxellaceae:8, Xanthomonadales.Xanthomonadaceae:7, Enterobacteriales.Enterobacteriaceae:1, Rhizobiales.Xanthobacteraceae:1"
"dark_sulfide_oxidation"	0.42	31	0.43	7	"Rhodospirillales.Magnetospiraceae:9, Thiotrichales.Thiotrichaceae:3, Betaproteobacteriales.Burkholderiaceae:1"	"Thiomicrospirales.Thioglobaceae:8, Betaproteobacteriales.Hydrogenophilaceae:7, Beggiatoales.Beggiatoaceae:2, Campylobacterales.Sulfurospirillaceae:1"
"dark_oxidation_of_sulfur_compounds"	0.2	134	0.45	11	"Rhodospirillales.Magnetospiraceae:15, Rhodobacterales.Rhodobacteraceae:5, Thiotrichales.Thiotrichaceae:3, Betaproteobacteriales.Burkholderiaceae:2, Rhizobiales.Beijerinckiaceae:2"	"Campylobacterales.Thiovulaceae:87, Thiomicrospirales.Thioglobaceae:8, Betaproteobacteriales.Hydrogenophilaceae:7, Beggiatoales.Beggiatoaceae:3, Campylobacterales.Sulfurospirillaceae:1, Betaproteobacteriales.Sulfuricellaceae:1"
"nitrogen_respiration"	0.11	91	0.24	21	"Betaproteobacteriales.Burkholderiaceae:4, Rhodobacterales.Rhodobacteraceae:2, Desulfovibrionales.Desulfovibrionaceae:2, Thalassobaculales.Nisaeaceae:1, Desulfobacterales.Desulfobacteraceae:1"	"Alteromonadales.Shewanellaceae:21, Betaproteobacteriales.Rhodocyclaceae:19, Thiomicrospirales.Thioglobaceae:8, Xanthomonadales.Xanthomonadaceae:7, Desulfuromonadales.Desulfuromonadaceae:7, Rhodospirillales.Magnetospirillaceae:4, Rhizobiales.Xanthobacteraceae:3, Pseudomonadales.Pseudomonadaceae:2, Propionibacteriales.Propionibacteriaceae:2, Beggiatoales.Beggiatoaceae:2, Sneathiellales.Sneathiellaceae:1, Alteromonadales.Alteromonadaceae:1, Campylobacterales.Sulfurospirillaceae:1, Holophagales.Holophagaceae:1, Brocadiales.Brocadiaceae:1, Betaproteobacteriales.Sulfuricellaceae:1"
"nitrate_respiration"	0.11	90	0.25	20	"Betaproteobacteriales.Burkholderiaceae:4, Rhodobacterales.Rhodobacteraceae:2, Desulfovibrionales.Desulfovibrionaceae:2, Thalassobaculales.Nisaeaceae:1, Desulfobacterales.Desulfobacteraceae:1"	"Alteromonadales.Shewanellaceae:21, Betaproteobacteriales.Rhodocyclaceae:19, Thiomicrospirales.Thioglobaceae:8, Xanthomonadales.Xanthomonadaceae:7, Desulfuromonadales.Desulfuromonadaceae:7, Rhodospirillales.Magnetospirillaceae:4, Rhizobiales.Xanthobacteraceae:3, Pseudomonadales.Pseudomonadaceae:2, Propionibacteriales.Propionibacteriaceae:2, Beggiatoales.Beggiatoaceae:2, Sneathiellales.Sneathiellaceae:1, Alteromonadales.Alteromonadaceae:1, Campylobacterales.Sulfurospirillaceae:1, Holophagales.Holophagaceae:1, Betaproteobacteriales.Sulfuricellaceae:1"
"nitrite_respiration"	0.24	17	0.3	10	"Rhodobacterales.Rhodobacteraceae:2, Thalassobaculales.Nisaeaceae:1, Desulfobacterales.Desulfobacteraceae:1"	"Betaproteobacteriales.Rhodocyclaceae:4, Rhizobiales.Xanthobacteraceae:3, Pseudomonadales.Pseudomonadaceae:2, Alteromonadales.Shewanellaceae:1, Campylobacterales.Sulfurospirillaceae:1, Brocadiales.Brocadiaceae:1, Betaproteobacteriales.Sulfuricellaceae:1"
"nitrate_denitrification"	0.31	13	0.38	8	"Rhodobacterales.Rhodobacteraceae:2, Thalassobaculales.Nisaeaceae:1, Desulfobacterales.Desulfobacteraceae:1"	"Rhizobiales.Xanthobacteraceae:3, Pseudomonadales.Pseudomonadaceae:2, Betaproteobacteriales.Rhodocyclaceae:2, Alteromonadales.Shewanellaceae:1, Betaproteobacteriales.Sulfuricellaceae:1"
"denitrification"	0.31	13	0.38	8	"Rhodobacterales.Rhodobacteraceae:2, Thalassobaculales.Nisaeaceae:1, Desulfobacterales.Desulfobacteraceae:1"	"Rhizobiales.Xanthobacteraceae:3, Pseudomonadales.Pseudomonadaceae:2, Betaproteobacteriales.Rhodocyclaceae:2, Alteromonadales.Shewanellaceae:1, Betaproteobacteriales.Sulfuricellaceae:1"
"nitrite_denitrification"	0.31	13	0.38	8	"Rhodobacterales.Rhodobacteraceae:2, Thalassobaculales.Nisaeaceae:1, Desulfobacterales.Desulfobacteraceae:1"	"Rhizobiales.Xanthobacteraceae:3, Pseudomonadales.Pseudomonadaceae:2, Betaproteobacteriales.Rhodocyclaceae:2, Alteromonadales.Shewanellaceae:1, Betaproteobacteriales.Sulfuricellaceae:1"
"nitrogen_fixation"	0.73	63	0.33	12	"Magnetococcales.Magnetococcaceae:35, Rhodospirillales.Magnetospiraceae:6, Rhizobiales.Beijerinckiaceae:3, Betaproteobacteriales.Burkholderiaceae:2"	"Rhodospirillales.Magnetospirillaceae:4, Azospirillales.Azospirillaceae:3, Rhizobiales.Xanthobacteraceae:3, Betaproteobacteriales.Rhodocyclaceae:3, Clostridiales.Heliobacteriaceae:1, Nostocales.Nostocaceae:1, Beggiatoales.Beggiatoaceae:1, Methanomicrobiales.Methanospirillaceae:1"
"dark_thiosulfate_oxidation"	0.94	18	0.67	3	"Rhodospirillales.Magnetospiraceae:15, Betaproteobacteriales.Burkholderiaceae:2"	"Betaproteobacteriales.Sulfuricellaceae:1"
