"percent.OTUS.sig.predictors.classified"	"total.counts.classified.OTUS"	"counts.sig.orders.classified"	"counts.orders.classified"	"hits.to.sig.predictive.taxa"	"other.hits"
"sulfur_respiration"	0.79	68	0.67	6	"Clostridiales.Family_XII:51, Desulfuromonadales.Geobacteraceae:1, Desulfovibrionales.Desulfovibrionaceae:1, Desulfobacterales.Desulfobacteraceae:1"	"Desulfuromonadales.Desulfuromonadaceae:8, Campylobacterales.Sulfurospirillaceae:6"
"thiosulfate_respiration"	0.97	60	0.6	5	"Clostridiales.Family_XII:51, Desulfobacterales.Desulfobacteraceae:5, Desulfovibrionales.Desulfovibrionaceae:2"	"Alteromonadales.Alteromonadaceae:1, Campylobacterales.Sulfurospirillaceae:1"
"dark_hydrogen_oxidation"	0.65	23	0.45	11	"Betaproteobacteriales.Burkholderiaceae:6, Desulfobacterales.Desulfobulbaceae:5, Rhodobacterales.Rhodobacteraceae:2, Desulfovibrionales.Desulfovibrionaceae:1, Desulfobacterales.Desulfobacteraceae:1"	"Rhizobiales.Xanthobacteraceae:2, Methanosarcinales.Methanosarcinaceae:2, Selenomonadales.Veillonellaceae:1, Methanobacteriales.Methanobacteriaceae:1, Methanomicrobiales.Methanospirillaceae:1, Campylobacterales.Sulfurospirillaceae:1"
"sulfite_respiration"	0.93	30	0.5	4	"Desulfobacterales.Desulfobulbaceae:22, Desulfobacterales.Desulfobacteraceae:6"	"Alteromonadales.Shewanellaceae:1, Campylobacterales.Sulfurospirillaceae:1"
"iron_respiration"	0.7	46	0.25	8	"Desulfuromonadales.Geobacteraceae:29, Betaproteobacteriales.Burkholderiaceae:3"	"Desulfuromonadales.Desulfuromonadaceae:8, Alteromonadales.Shewanellaceae:2, Selenomonadales.Veillonellaceae:1, Acetobacterales.Acetobacteraceae:1, Betaproteobacteriales.Rhodocyclaceae:1, Holophagales.Holophagaceae:1"
"dark_iron_oxidation"	0.12	8	0.25	4	"Rhodobacterales.Rhodobacteraceae:1"	"Betaproteobacteriales.Gallionellaceae:5, Sneathiellales.Sneathiellaceae:1, Betaproteobacteriales.Rhodocyclaceae:1"
"manganese_oxidation"	1	5	1	2	"Betaproteobacteriales.Burkholderiaceae:4, Rhizobiales.Beijerinckiaceae:1"	""
"plant_pathogen"	0	2	0	1	""	"Xanthomonadales.Xanthomonadaceae:2"
"dark_sulfur_oxidation"	0.86	7	0.67	3	"Rhodobacterales.Rhodobacteraceae:5, Betaproteobacteriales.Burkholderiaceae:1"	"Betaproteobacteriales.Sulfuricellaceae:1"
"aromatic_hydrocarbon_degradation"	0.25	4	0.33	3	"Cellvibrionales.Porticoccaceae:1"	"Corynebacteriales.Nocardiaceae:2, Holophagales.Holophagaceae:1"
"photoheterotrophy"	0.58	26	0.33	6	"Rhodobacterales.Rhodobacteraceae:11, Betaproteobacteriales.Burkholderiaceae:4"	"Sphingomonadales.Sphingomonadaceae:4, Rhizobiales.Xanthobacteraceae:4, Acetobacterales.Acetobacteraceae:2, Rhodospirillales.Magnetospirillaceae:1"
"cellulolysis"	0.28	36	0.22	9	"Chitinophagales.Saprospiraceae:9, Clostridiales.Clostridiaceae_1:1"	"Cytophagales.Cytophagaceae:19, Cytophagales.Spirosomaceae:2, Fibrobacterales.Fibrobacteraceae:1, Micrococcales.Cellulomonadaceae:1, Myxococcales.Polyangiaceae:1, Frankiales.Acidothermaceae:1, Cellvibrionales.Microbulbiferaceae:1"
"aerobic_nitrite_oxidation"	0.96	28	0.67	3	"Nitrospirales.Nitrospiraceae:25, Nitrospinales.Nitrospinaceae:2"	"Betaproteobacteriales.Gallionellaceae:1"
"methanotrophy"	0.04	55	0.25	4	"Rhizobiales.Beijerinckiaceae:2"	"Methylococcales.Methylomonaceae:43, Methylococcales.Methylococcaceae:8, Methylomirabilales.Methylomirabilaceae:2"
