"Base_Variable"	"source"	"PreProcess"	"Object_Index"	"Log"	"Center"	"svm-StatName"	"svm-Year"	"svm-Month"	"svm-Discharge_Susquehanna_14"	"svm-Latitude"	"svm-depth_segment"	"svm-habitat"	"svm-enspie"	"svm-faith_pd"	"svm-day_length"	"svm-CollectionAgency"	"svm-anti_day_length"	"svm-Month_Year"	"svm-WTEMP"	"svm-SALINITY"	"svm-DO"	"svm-DOP"	"svm-NO2F"	"svm-PC"	"svm-PHEO"	"svm-NO3F"	"svm-NH4F"	"svm-TP"	"svm-CHLA"	"svm-TDN"	"svm-SalZone"	"svm-AC_PrinComp1"	"svm-AC_PrinComp2"	"svm-depth_float"	"rf-StatName"	"rf-Year"	"rf-Month"	"rf-Discharge_Susquehanna_14"	"rf-Latitude"	"rf-depth_segment"	"rf-habitat"	"rf-enspie"	"rf-faith_pd"	"rf-day_length"	"rf-CollectionAgency"	"rf-anti_day_length"	"rf-Month_Year"	"rf-WTEMP"	"rf-SALINITY"	"rf-DO"	"rf-DOP"	"rf-NO2F"	"rf-PC"	"rf-PHEO"	"rf-NO3F"	"rf-NH4F"	"rf-TP"	"rf-CHLA"	"rf-TDN"	"rf-SalZone"	"rf-AC_PrinComp1"	"rf-AC_PrinComp2"	"rf-depth_float"
"T13"	"Function"	"RDP∪Silva"	"TSS"	3	TRUE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"T14"	"Function"	"Silva"	"TSS"	4	TRUE	FALSE	0.667213114754098	0.857746478873239	0.712857142857143	0.814414243338502	0.730113426486389	0.903636363636364	0.752112676056338	0.581378758274883	0.824344415042475	0.606396475744413	0.836619718309859	0.853720100480888	0.667164179104478	0.828359071977608	0.671464080997476	0.585380237220437	0.456708469470078	0.471681152253274	0.425699575046498	0.478003087745275	0.503932710803892	0.537449716460892	0.719885139136709	0.53251999207372	0.661538876485423	0.835211267605634	0.601622977797755	0.642167193098869	0.567752048465988	0.657377049180328	0.835211267605634	0.794285714285714	0.84468355497411	0.742893522790914	0.912727272727273	0.832394366197183	0.676011428840138	0.813855535352639	0.698166262585223	0.83943661971831	0.870317972176609	0.73134328358209	0.853828989767926	0.68127650483566	0.618300344301695	0.488992680455975	0.47277726838727	0.438343413121696	0.386525180366107	0.611186888816321	0.601837899083739	0.720983856598098	0.579551507487817	0.71227497071462	0.822535211267606	0.645728157837037	0.624321818062415	0.612889796255501
"T15"	"Taxa"	"Order"	"TSS"	5	TRUE	FALSE	0.713114754098361	0.92112676056338	0.885714285714286	0.848885111653127	0.854868839326909	0.932727272727273	0.802816901408451	0.623087336208665	0.922490575121232	0.760445817161596	0.873239436619718	0.890872242205369	0.819402985074627	0.866913610213967	0.792558088890666	0.696617155247579	0.561499803891237	0.371099251021725	0.52941868715689	0.514517682059007	0.559703297198492	0.676452175877408	0.735846914467864	0.528935809807784	0.731324559617689	0.892957746478873	0.652210064891631	0.752697682257923	0.706048953577585	0.711475409836066	0.912676056338028	0.855714285714286	0.871912069093356	0.823590581461208	0.949090909090909	0.809859154929577	0.729435699485725	0.92834704589711	0.778132457478095	0.895774647887324	0.88344300767788	0.823880597014925	0.862687173313317	0.827176826811567	0.711519083725365	0.565707228761661	0.260421980721241	0.517380438796401	0.510488706123672	0.643591333662213	0.66986173702539	0.771080338874737	0.52587312343818	0.751914929180476	0.9	0.663931024840644	0.758344033365719	0.681054715943158
"T16"	"Taxa"	"Family"	"TSS"	6	TRUE	FALSE	0.757377049180328	0.919718309859155	0.864285714285714	0.840990105425013	0.798282239453525	0.923636363636364	0.790140845070423	0.674000384635053	0.924116354632746	0.80181992957773	0.9	0.895771249073619	0.8	0.883831946315986	0.786528008158804	0.595133307116524	0.57973458421426	0.370777143735835	0.507733003480022	0.550155613224526	0.585347056258687	0.621387477690071	0.746099704987495	0.585361158720226	0.737523151782949	0.87887323943662	0.585268903784998	0.729101755485981	0.677774752422187	0.726229508196721	0.911267605633803	0.83	0.861005899357602	0.804399405923561	0.943636363636364	0.812676056338028	0.724947067358498	0.923287435240902	0.794746075508623	0.888732394366197	0.896459099283124	0.816417910447761	0.90757803327039	0.822631112803329	0.662288223980052	0.592896118463758	0.412748774028497	0.550175378440518	0.501115538809551	0.678961365248394	0.62336094359142	0.738031046249961	0.566333740323968	0.76066216726472	0.885915492957747	0.641325895835381	0.719047061931957	0.658454259513102
"T17"	"Taxa"	"Genus"	"TSS"	7	TRUE	FALSE	0.767213114754098	0.933802816901408	0.881428571428571	0.859763416828132	0.859969987595192	0.941818181818182	0.773239436619718	0.624962113270884	0.919257581601655	0.796534617750211	0.92112676056338	0.900295425865955	0.828358208955224	0.8793141694453	0.807647064978693	0.636253207363012	0.548658920372096	0.329958850530287	0.50913454416939	0.607512324088288	0.547563157163447	0.684552560613497	0.780027412393663	0.529656019598807	0.726229733822073	0.892957746478873	0.611074700903078	0.726946549853103	0.700254187452448	0.740983606557377	0.901408450704225	0.852857142857143	0.866280100193258	0.847119601837891	0.943636363636364	0.811267605633803	0.732524800867721	0.929661554123641	0.784775135018477	0.898591549295775	0.893084370000991	0.834328358208955	0.912303535564568	0.823373020193417	0.646155317581538	0.56534307694904	0.303921466842022	0.531802771454965	0.535916700171159	0.635364800381977	0.660516121245533	0.78503692732572	0.5350529353582	0.714032871021627	0.91830985915493	0.611635885648346	0.754376412789979	0.657622000591839
"T18"	"Function"	"RDP"	"TSS"	1	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"T19"	"Function"	"RDP∩Silva"	"TSS"	2	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"T20"	"Function"	"RDP∪Silva"	"TSS"	3	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"T21"	"Function"	"Silva"	"TSS"	4	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"T22"	"Taxa"	"Order"	"TSS"	5	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"T23"	"Taxa"	"Family"	"TSS"	6	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"T24"	"Taxa"	"Genus"	"TSS"	7	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"T25"	"Function"	"RDP"	"TSS"	1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"T26"	"Function"	"RDP∩Silva"	"TSS"	2	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"T27"	"Function"	"RDP∪Silva"	"TSS"	3	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"T28"	"Function"	"Silva"	"TSS"	4	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"T29"	"Taxa"	"Order"	"TSS"	5	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"T30"	"Taxa"	"Family"	"TSS"	6	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"T31"	"Taxa"	"Genus"	"TSS"	7	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
