OTU_1	OTU_2	correlation	clust_0_score	clust_1_score	clust_2_score	clust_4_score	clust_5_score	clust_6_score	clust_7_score	clust_8_score	clust_12_score	OTU_1_Taxonomy	OTU_2_Taxonomy
OTU1	OTU4	0.797579390592	0.037432198071376335	0.0027591257159210363	0.032535335522983974	0.043824631856694996	0.0387346480812114	0.12071374601728788	0.03135115184893691	0.0	0.026639642120855605	Cyanobacteria	Actinobacteria
OTU1	OTU5	0.510318249531	0.03390183607124175	0.03365412627744396	0.027576918146612436	0.03037637923239542	0.01852315861541953	0.11674678389203913	0.05465693679542466	2.0565834664399852e-05	0.041830390779314455	Cyanobacteria	Actinobacteria
OTU1	OTU7	0.786162252024	0.06325367681184062	0.0023825999127840007	0.020090028651676573	0.03117596529609143	0.02451913323515089	0.11566119138767969	0.025229138955773316	0.0	0.03124665137545079	Cyanobacteria	Actinobacteria
OTU1	OTU8	0.8628251741799999	0.026824290758924455	0.002342587884987974	0.018325942331175023	0.02909712574983577	0.015929941357932437	0.14509294225814645	0.027713096433763275	0.0	0.03360790465189605	Cyanobacteria	Cyanobacteria
OTU1	OTU9	0.8658989362170001	0.017733512518003598	0.004488935343823896	0.04104883179429166	0.04428444921669099	0.017195591361430805	0.1166335547507609	0.037179501856677816	0.0	0.02591047209694803	Cyanobacteria	Proteobacteria
OTU1	OTU10	0.552187751962	0.042114555466120446	0.0064160973162151035	0.017255711305984675	0.02308085006063874	0.016279916666935006	0.10450706965717681	0.03674511187549812	5.1220003178219373e-05	0.06768409800017658	Cyanobacteria	Actinobacteria
OTU1	OTU11	0.580732887752	0.01883291657247098	0.007995023774597846	0.04582863413266709	0.03586669249258001	0.017483730089584586	0.10817377513126084	0.02683012332646987	9.12059247368709e-06	0.029120159726117645	Cyanobacteria	Proteobacteria
OTU1	OTU13	0.560088713124	0.06900289809621529	0.0028129601135582203	0.014239872542745502	0.022116557315605526	0.01460266856907199	0.10283114023667202	0.030111254079297316	0.0	0.03741152868057376	Cyanobacteria	Actinobacteria
OTU1	OTU18	0.5150581370530001	0.02575237793882168	0.004359760107911486	0.016430332302141276	0.02245234866817838	0.012151208354363535	0.10159140440863003	0.02835795918794128	0.0	0.032429024270050164	Cyanobacteria	Actinobacteria
OTU1	OTU20	0.881773349469	0.014220848734180187	0.0036063687185099473	0.024952959959302683	0.03392915063764951	0.014356363309464748	0.1135196773309561	0.03574585733669329	0.0	0.023599902281791645	Cyanobacteria	Proteobacteria
OTU1	OTU22	0.577851947808	0.01183357953220406	0.007059028132153573	0.027725620596948875	0.03850197652117314	0.013332217224211358	0.11059120889012865	0.03849847724387308	0.0	0.018674170470977237	Cyanobacteria	Proteobacteria
OTU1	OTU23	0.606760080224	0.01603737579890522	0.006326551848590363	0.033702915004950054	0.02992615306424109	0.0145467615909643	0.10532890909617688	0.027407010412259132	0.0	0.027373237474006638	Cyanobacteria	Proteobacteria
OTU1	OTU24	0.560799501794	0.0683258254048831	0.0021601789281119116	0.012651794269910472	0.02399663885541981	0.016317563403253625	0.10316413138371305	0.02212483883357753	0.0	0.01594754033518131	Cyanobacteria	Actinobacteria
OTU1	OTU33	0.643812167622	0.010574948522249598	0.002304381523411121	0.024603752041333346	0.03211791644979479	0.01703199349786755	0.10482072869009601	0.039054370415737616	2.0565834664399852e-05	0.017818253025160467	Cyanobacteria	Planctomycetes
OTU1	OTU36	0.7025526410340001	0.011626982881645641	0.002075930353243366	0.01586871723484287	0.025044671459292452	0.009966558953915568	0.10550295361217658	0.06534378787901772	0.0	0.019417895274896724	Cyanobacteria	Proteobacteria
OTU1	OTU37	0.534078752071	0.018375604364250578	0.0050344309901798655	0.022062041779002166	0.02635455062356119	0.013388473452739587	0.1023739722104926	0.02317434955263235	9.12059247368709e-06	0.021278490534597114	Cyanobacteria	Proteobacteria
OTU1	OTU38	0.685158319804	0.023814807048333997	0.0023221419862159837	0.015518486093876648	0.0232895053876715	0.01805529753417178	0.10402774489911595	0.028810771898945556	5.150868867074296e-05	0.027000959220654472	Cyanobacteria	Planctomycetes
OTU1	OTU40	0.604223356953	0.016722727973307348	0.0042625386227794874	0.015914166782644793	0.023384983813963738	0.014809767809790058	0.0990698738630326	0.024872967138712055	0.0	0.027027426494128447	Cyanobacteria	Bacteroidetes
OTU1	OTU42	0.7374896720020001	0.016168884909243102	0.0042463366650781365	0.017145459680484015	0.029688394516861595	0.013641439767896488	0.10352541663425513	0.02595002972777835	0.0	0.01811990087266162	Cyanobacteria	Actinobacteria
OTU1	OTU43	0.651087570283	0.02032785821667378	0.0027350009572136348	0.01426648524914978	0.022563649508253243	0.01473228941571899	0.10133166301313676	0.026950922919862716	0.0	0.026061644815310203	Cyanobacteria	Actinobacteria
OTU1	OTU46	0.7798121903640001	0.01158404126933427	0.002384442730387381	0.022300001486100306	0.028634574376958773	0.014853178695557781	0.10314498553191519	0.028817368903486542	0.0	0.018201381542448502	Cyanobacteria	Bacteroidetes
OTU1	OTU49	0.7640832434720001	0.010863330600732201	0.002103549251306951	0.021282671901023873	0.030526043637808684	0.015301529468624439	0.10505004218781644	0.024177698419658823	1.824118494737418e-05	0.01716924706383202	Cyanobacteria	Bacteroidetes
OTU1	OTU50	0.5419825542100001	0.01448961265129468	0.00476080511841677	0.015164075526774878	0.02295278745955159	0.01227410210294468	0.10030652279896338	0.023324856825141734	2.9298985518582665e-05	0.033186764461475844	Cyanobacteria	Bacteroidetes
