Retained 0 ( 160 , 160 )
SB072215TAWCSCB33CD4BR1TR1I31_F_filt.fastq:53555 reads
SB072215TAWCSCB33CD18BR1TR1I44_F_filt.fastq:19086 reads
SB082015TAWCSCB33CD17BR1TR1I69_F_filt.fastq:97562 reads
SB072215TAWCSCB33CDSBBR1TR1I26_F_filt.fastq:10614 reads
SB082015TAWCSCB33CD13BR1TR1I65_F_filt.fastq:52909 reads
SB072215TAWCSCB33CD3BR1TR1I30_F_filt.fastq:44663 reads
SB061815TAWCSCB33CD5BR1TR1I8_F_filt.fastq:21 reads
SB061815TAWCSCB33CDSBBR1TR1I2_F_filt.fastq:18031 reads
SB061815TAWCSCB33CD10BR1TR1I13_F_filt.fastq:65131 reads
SB072215TAWCSCB33CD9BR1TR1I36_F_filt.fastq:151122 reads
SB072215TAWCSCB33CD8BR1TR1I35_F_filt.fastq:3767 reads
SB061815TAWCSCB33CD4BR1TR1I7_F_filt.fastq:36780 reads
SB072215TAWCSCB33CD1BR1TR1I28_F_filt.fastq:2 reads
SB082015TAWCSCB33CD11BR1TR1I63_F_filt.fastq:76669 reads
SB072215TAWCSCB33CD6BR1TR1I33_F_filt.fastq:59982 reads
SB082015TAWCSCB33CD19BR1TR1I71_F_filt.fastq:87093 reads
SB072215TAWCSCB33CD20BR1TR1I45_F_filt.fastq:26152 reads
SB082015TAWCSCB33CD10BR2TR1I62_F_filt.fastq:22324 reads
SB072215TAWCSCB33CD2BR1TR1I29_F_filt.fastq:55753 reads
SB061815TAWCSCB33CD1BR1TR1I4_F_filt.fastq:33427 reads
SB061815TAWCSCB33CD18BR1TR1I22_F_filt.fastq:12421 reads
SB061815TAWCSCB33CD3BR1TR1I6_F_filt.fastq:38046 reads
SB072215TAWCSCB33CD7BR1TR1I34_F_filt.fastq:69605 reads
SB082015TAWCSCB33CD6BR1TR1I57_F_filt.fastq:2871 reads
SB072215TAWCSCB33CD15BR1TR1I43_F_filt.fastq:11309 reads
SB061815TAWCSCB33CD6BR1TR1I9_F_filt.fastq:24105 reads
SB072215TAWCSCB33CD10BR2TR1I38_R_filt.fastq:39325 reads
SB072215TAWCSCB33CD5BR1TR1I32_R_filt.fastq:37 reads
SB072215TAWCSCB33CD13BR1TR1I41_R_filt.fastq:26053 reads
SB082015TAWCSCB33CD3BR1TR1I54_R_filt.fastq:62330 reads
SB061815TAWCSCB33CD18BR1TR1I22_R_filt.fastq:12421 reads
SB072215TAWCSCB33CD4BR1TR1I31_R_filt.fastq:53555 reads
SB082015TAWCSCB33CD0BR1TR1I51_R_filt.fastq:24526 reads
SB082015TAWCSCB33CD17BR1TR1I69_R_filt.fastq:97562 reads
SB082015TAWCSCB33CD21BR1TR1I75_R_filt.fastq:4 reads
SB082015TAWCSCB33CD2BR1TR1I53_R_filt.fastq:2 reads
SB061815TAWCSCB33CD1BR1TR1I4_R_filt.fastq:33427 reads
SB072215TAWCSCB33CD18BR1TR1I44_R_filt.fastq:19086 reads
SB061815TAWCSCB33CD0BR1TR1I3_R_filt.fastq:116941 reads
SB061815TAWCSCB33CD6BR1TR1I9_R_filt.fastq:24105 reads
SB082015TAWCSCB33CD19BR1TR1I71_R_filt.fastq:87093 reads
SB072215TAWCSCB33CDEBBR1TR1I47_R_filt.fastq:93812 reads
SB082015TAWCSCB33CD14BR1TR1I66_R_filt.fastq:37883 reads
SB061815TAWCSCB33CD5BR1TR1I8_R_filt.fastq:21 reads
SB072215TAWCSCB33CD9BR1TR1I36_R_filt.fastq:151122 reads
SB082015TAWCSCB33CD10BR2TR1I62_R_filt.fastq:22324 reads
SB082015TAWCSCB33CD16BR1TR1I68_R_filt.fastq:147584 reads
SB082015TAWCSCB33CD7BR1TR1I58_R_filt.fastq:73487 reads
SB082015TAWCSCB33CD9BR1TR1I60_R_filt.fastq:7109 reads
SB061815TAWCSCB33CDSBBR1TR1I2_R_filt.fastq:18031 reads
SB072215TAWCSCB33CD11BR1TR1I39_R_filt.fastq:36075 reads
SB072215TAWCSCB33CDSBBR1TR1I26_R_filt.fastq:10614 reads
SB082015TAWCSCB33CD8BR1TR1I59_R_filt.fastq:60856 reads
SB061815TAWCSCB33CD8BR1TR1I11_R_filt.fastq:74529 reads
SB082015TAWCSCB33CD1BR1TR1I52_R_filt.fastq:189989 reads
SB061815TAWCSCB33CD3BR1TR1I6_R_filt.fastq:38046 reads
SB061815TAWCSCB33CDEBBR1TR1I23_R_filt.fastq:69976 reads
SB072215TAWCSCB33CD1BR1TR1I28_R_filt.fastq:2 reads
SB082015TAWCSCB33CD12BR1TR1I64_R_filt.fastq:43724 reads
SB072215TAWCSCB33CD12BR1TR1I40_R_filt.fastq:49867 reads
SB061815TAWCSCB33CD10BR1TR1I13_R_filt.fastq:65131 reads
SB061815TAWCSCB33CD15BR1TR1I19_R_filt.fastq:320 reads
SB072215TAWCSCB33CD14BR1TR1I42_R_filt.fastq:20075 reads
SB061815TAWCSCB33CD7BR1TR1I10_R_filt.fastq:90114 reads
SB082015TAWCSCB33CDEBBR1TR1I76_R_filt.fastq:235071 reads
SB072215TAWCSCB33CD10BR1TR1I37_R_filt.fastq:60610 reads
SB082015TAWCSCB33CD4BR1TR1I55_R_filt.fastq:20165 reads
SB072215TAWCSCB33CD15BR1TR1I43_R_filt.fastq:11309 reads
SB061815TAWCSCB33CD13BR1TR1I17_R_filt.fastq:63056 reads
SB082015TAWCSCB33CD18BR1TR1I70_R_filt.fastq:135285 reads
SB061815TAWCSCB33CD12BR1TR1I16_R_filt.fastq:22 reads
SB082015TAWCSCB33CD10BR1TR1I61_R_filt.fastq:75229 reads
SB061815TAWCSCB33CD2BR1TR1I5_R_filt.fastq:74417 reads
SB072215TAWCSCB33CD22BR1TR1I46_R_filt.fastq:14294 reads
SB082015TAWCSCB33CD13BR1TR1I65_R_filt.fastq:52909 reads
SB061815TAWCSCB33CD4BR1TR1I7_R_filt.fastq:36780 reads
SB061815TAWCSCB33CD17BR1TR1I21_R_filt.fastq:34306 reads
SB061815TAWCSCB33CD11BR1TR1I15_R_filt.fastq:16566 reads
SB072215TAWCSCB33CD20BR1TR1I45_R_filt.fastq:26152 reads
SB061815TAWCSCB33CD10BR2TR1I14_R_filt.fastq:39 reads
SB061815TAWCSCB33CD16BR1TR1I20_R_filt.fastq:1 reads
SB072215TAWCSCB33CD3BR1TR1I30_R_filt.fastq:44663 reads
SB082015TAWCSCB33CD6BR1TR1I57_R_filt.fastq:2871 reads
SB072215TAWCSCB33CD2BR1TR1I29_R_filt.fastq:55753 reads
SB072215TAWCSCB33CD7BR1TR1I34_R_filt.fastq:69605 reads
SB082015TAWCSCB33CDSBBR1TR1I50_R_filt.fastq:26548 reads
SB082015TAWCSCB33CD15BR1TR1I67_R_filt.fastq:23215 reads
SB082015TAWCSCB33CD20BR1TR1I74_R_filt.fastq:70542 reads
SB061815TAWCSCB33CD14BR1TR1I18_R_filt.fastq:40150 reads
SB082015TAWCSCB33CD11BR1TR1I63_R_filt.fastq:76669 reads
SB072215TAWCSCB33CD0BR1TR1I27_R_filt.fastq:59350 reads
SB072215TAWCSCB33CD8BR1TR1I35_R_filt.fastq:3767 reads
SB072215TAWCSCB33CD6BR1TR1I33_R_filt.fastq:59982 reads
null device 
          1 
